state	zip	pci
AL	36111	67
AL	36113	57
AL	36115	42
AL	36116	38
AL	36117	72
AL	36201	29
AL	36203	48
AL	36205	60
AL	36206	39
AL	36207	58
AL	36250	50
AL	36251	40
AL	36255	53
AL	36256	42
AL	36258	43
AL	36260	41
AL	36262	38
AL	36263	46
AL	36264	45
AL	36265	47
AL	36266	41
AL	36268	44
AL	36269	41
AL	36271	47
AL	36272	39
AL	36273	48
AL	36274	37
AL	36276	37
AL	36277	42
AL	36278	53
AL	36279	43
AL	36280	42
AL	36301	42
AL	36303	55
AL	36305	81
AL	36310	42
AL	36311	46
AL	36312	46
AL	36314	41
AL	36316	50
AL	36317	39
AL	36318	47
AL	36319	48
AL	36320	39
AL	36321	38
AL	36322	42
AL	36323	45
AL	36330	56
AL	36340	40
AL	36343	34
AL	36344	42
AL	36345	50
AL	36346	44
AL	36350	45
AL	36351	51
AL	36352	51
AL	36353	42
AL	36360	44
AL	36362	46
AL	36370	40
AL	36373	33
AL	36374	49
AL	36375	40
AL	36376	37
AL	36401	39
AL	36420	49
AL	36421	54
AL	36425	30
AL	36426	44
AL	36432	36
AL	36435	28
AL	36436	38
AL	36441	45
AL	36442	37
AL	36444	37
AL	36445	40
AL	36451	51
AL	36453	48
AL	36456	37
AL	36460	49
AL	36467	43
AL	36471	34
AL	36474	46
AL	36475	40
AL	36477	41
AL	36480	49
AL	36481	24
AL	36482	30
AL	36483	38
AL	36502	41
AL	36505	48
AL	36507	46
AL	36509	35
AL	36511	34
AL	36518	59
AL	36521	47
AL	36522	42
AL	36523	46
AL	36524	38
AL	36525	50
AL	36526	71
AL	36527	92
AL	36528	71
AL	36529	47
AL	36530	48
AL	36532	77
AL	36535	41
AL	36538	35
AL	36539	53
AL	36540	32
AL	36541	48
AL	36542	58
AL	36544	40
AL	36545	48
AL	36548	52
AL	36549	48
AL	36551	48
AL	36553	41
AL	36555	70
AL	36558	54
AL	36560	33
AL	36561	74
AL	36562	41
AL	36567	42
AL	36569	50
AL	36571	53
AL	36572	59
AL	36574	47
AL	36575	49
AL	36576	46
AL	36578	56
AL	36579	48
AL	36580	43
AL	36582	48
AL	36583	65
AL	36584	46
AL	36585	48
AL	36587	46
AL	36602	67
AL	36603	24
AL	36604	51
AL	36605	32
AL	36606	40
AL	36607	55
AL	36608	73
AL	36609	45
AL	36610	21
AL	36611	31
AL	36612	23
AL	36613	35
AL	36617	25
AL	36618	39
AL	36619	54
AL	36693	58
AL	36695	66
AL	36701	40
AL	36703	30
AL	36720	24
AL	36722	33
AL	36726	39
AL	36728	31
AL	36732	48
AL	36736	35
AL	36738	34
AL	36740	33
AL	36742	50
AL	36744	35
AL	36748	45
AL	36749	37
AL	36750	43
AL	36751	27
AL	36752	51
AL	36754	35
AL	36756	35
AL	36758	39
AL	36759	34
AL	36761	36
AL	36765	28
AL	36767	29
AL	36768	32
AL	36769	32
AL	36773	32
AL	36775	36
AL	36776	28
AL	36782	47
AL	36783	42
AL	36784	49
AL	36785	37
AL	36786	26
AL	36790	52
AL	36792	44
AL	36793	42
AL	36801	46
AL	36804	43
AL	36830	75
AL	36832	40
AL	36850	31
AL	36852	35
AL	36853	52
AL	36854	39
AL	36855	40
AL	36856	46
AL	36858	36
AL	36860	30
AL	36861	53
AL	36862	35
AL	36863	35
AL	36866	37
AL	36867	42
AL	36869	33
AL	36870	44
AL	36871	49
AL	36874	52
AL	36875	43
AL	36877	48
AL	36879	64
AL	36904	51
AL	36907	32
AL	36908	55
AL	36912	32
AL	36915	52
AL	36916	44
AL	36919	45
AL	36921	50
AL	36922	34
AL	36925	27
AK	99501	72
AK	99502	82
AK	99503	58
AK	99504	58
AK	99505	37
AK	99506	39
AK	99507	78
AK	99508	54
AK	99515	93
AK	99516	150
AK	99517	77
AK	99518	67
AK	99540	71
AK	99556	54
AK	99567	79
AK	99568	55
AK	99572	72
AK	99573	49
AK	99577	86
AK	99586	43
AK	99588	56
AK	99603	63
AK	99610	61
AK	99611	70
AK	99615	63
AK	99631	55
AK	99639	58
AK	99645	72
AK	99654	70
AK	99664	60
AK	99669	76
AK	99672	66
AK	99674	55
AK	99676	56
AK	99686	74
AK	99688	55
AK	99701	53
AK	99702	40
AK	99703	34
AK	99705	64
AK	99709	74
AK	99712	76
AK	99714	65
AK	99737	60
AK	99743	73
AK	99760	56
AK	99780	48
AK	99801	72
AK	99824	68
AK	99827	53
AK	99835	67
AK	99901	62
AZ	85003	66
AZ	85004	81
AZ	85006	32
AZ	85007	46
AZ	85008	32
AZ	85009	26
AZ	85012	95
AZ	85013	66
AZ	85014	57
AZ	85015	32
AZ	85016	87
AZ	85017	25
AZ	85018	120
AZ	85019	28
AZ	85020	67
AZ	85021	58
AZ	85022	57
AZ	85023	55
AZ	85024	61
AZ	85027	46
AZ	85028	98
AZ	85029	39
AZ	85031	25
AZ	85032	49
AZ	85033	27
AZ	85034	34
AZ	85035	26
AZ	85037	34
AZ	85040	30
AZ	85041	36
AZ	85042	44
AZ	85043	35
AZ	85044	77
AZ	85045	117
AZ	85048	104
AZ	85050	96
AZ	85051	34
AZ	85053	42
AZ	85054	96
AZ	85083	97
AZ	85085	85
AZ	85086	84
AZ	85087	73
AZ	85118	83
AZ	85119	49
AZ	85120	36
AZ	85122	44
AZ	85128	38
AZ	85131	36
AZ	85132	48
AZ	85137	47
AZ	85138	54
AZ	85139	47
AZ	85140	54
AZ	85142	69
AZ	85143	48
AZ	85145	53
AZ	85172	41
AZ	85173	40
AZ	85192	43
AZ	85193	35
AZ	85194	62
AZ	85201	35
AZ	85202	42
AZ	85203	49
AZ	85204	37
AZ	85205	57
AZ	85206	49
AZ	85207	80
AZ	85208	42
AZ	85209	57
AZ	85210	36
AZ	85212	66
AZ	85213	71
AZ	85215	75
AZ	85224	59
AZ	85225	49
AZ	85226	76
AZ	85233	68
AZ	85234	75
AZ	85248	100
AZ	85249	107
AZ	85250	80
AZ	85251	85
AZ	85253	439
AZ	85254	103
AZ	85255	223
AZ	85256	37
AZ	85257	50
AZ	85258	130
AZ	85259	171
AZ	85260	116
AZ	85262	273
AZ	85263	164
AZ	85264	62
AZ	85266	191
AZ	85268	102
AZ	85281	43
AZ	85282	48
AZ	85283	53
AZ	85284	129
AZ	85286	92
AZ	85295	78
AZ	85296	75
AZ	85297	88
AZ	85298	100
AZ	85301	27
AZ	85302	39
AZ	85303	37
AZ	85304	51
AZ	85305	53
AZ	85306	47
AZ	85307	43
AZ	85308	66
AZ	85309	19
AZ	85310	82
AZ	85321	37
AZ	85322	44
AZ	85323	37
AZ	85324	39
AZ	85326	45
AZ	85331	109
AZ	85333	29
AZ	85335	36
AZ	85337	35
AZ	85338	59
AZ	85339	49
AZ	85340	77
AZ	85342	51
AZ	85344	40
AZ	85345	41
AZ	85347	81
AZ	85348	34
AZ	85350	31
AZ	85351	44
AZ	85353	38
AZ	85354	42
AZ	85355	74
AZ	85356	46
AZ	85361	46
AZ	85363	34
AZ	85364	43
AZ	85365	55
AZ	85367	53
AZ	85373	54
AZ	85374	55
AZ	85375	64
AZ	85379	55
AZ	85381	61
AZ	85382	62
AZ	85383	105
AZ	85387	67
AZ	85388	56
AZ	85390	54
AZ	85392	51
AZ	85395	85
AZ	85396	79
AZ	85501	47
AZ	85533	54
AZ	85534	49
AZ	85539	42
AZ	85540	67
AZ	85541	50
AZ	85542	25
AZ	85543	50
AZ	85544	56
AZ	85545	41
AZ	85546	49
AZ	85552	60
AZ	85602	45
AZ	85603	43
AZ	85606	40
AZ	85607	30
AZ	85610	52
AZ	85611	59
AZ	85613	39
AZ	85614	62
AZ	85615	62
AZ	85616	42
AZ	85617	39
AZ	85618	37
AZ	85621	33
AZ	85622	74
AZ	85623	59
AZ	85624	52
AZ	85625	42
AZ	85629	61
AZ	85630	49
AZ	85631	41
AZ	85632	49
AZ	85634	35
AZ	85635	50
AZ	85637	82
AZ	85638	36
AZ	85640	58
AZ	85641	75
AZ	85643	43
AZ	85645	42
AZ	85648	42
AZ	85650	71
AZ	85653	47
AZ	85658	92
AZ	85701	44
AZ	85704	71
AZ	85705	27
AZ	85706	27
AZ	85708	44
AZ	85710	41
AZ	85711	40
AZ	85712	43
AZ	85713	30
AZ	85714	26
AZ	85715	72
AZ	85716	46
AZ	85718	146
AZ	85719	40
AZ	85730	41
AZ	85735	42
AZ	85736	37
AZ	85737	91
AZ	85739	77
AZ	85741	47
AZ	85742	62
AZ	85743	65
AZ	85745	56
AZ	85746	36
AZ	85747	66
AZ	85748	70
AZ	85749	101
AZ	85750	122
AZ	85755	107
AZ	85756	39
AZ	85757	40
AZ	85901	47
AZ	85920	61
AZ	85924	42
AZ	85925	54
AZ	85928	49
AZ	85929	48
AZ	85935	60
AZ	85936	48
AZ	85937	46
AZ	85938	51
AZ	86001	62
AZ	86004	54
AZ	86005	67
AZ	86022	32
AZ	86024	71
AZ	86025	39
AZ	86036	25
AZ	86044	33
AZ	86046	43
AZ	86047	38
AZ	86301	58
AZ	86303	65
AZ	86305	82
AZ	86314	39
AZ	86315	62
AZ	86321	70
AZ	86322	41
AZ	86323	43
AZ	86324	49
AZ	86325	56
AZ	86326	41
AZ	86327	49
AZ	86332	45
AZ	86333	36
AZ	86334	40
AZ	86335	38
AZ	86336	85
AZ	86351	81
AZ	86401	50
AZ	86403	42
AZ	86404	48
AZ	86406	55
AZ	86409	38
AZ	86413	33
AZ	86426	41
AZ	86429	46
AZ	86434	33
AZ	86436	35
AZ	86440	38
AZ	86441	29
AZ	86442	35
AZ	86444	35
AZ	86445	38
AZ	86514	36
AR	71601	28
AR	71602	47
AR	71603	44
AR	71631	36
AR	71635	45
AR	71638	37
AR	71639	38
AR	71640	32
AR	71642	39
AR	71643	35
AR	71644	45
AR	71646	49
AR	71647	38
AR	71652	40
AR	71653	53
AR	71654	46
AR	71655	48
AR	71658	29
AR	71660	45
AR	71663	93
AR	71665	49
AR	71667	45
AR	71670	41
AR	71671	41
AR	71674	41
AR	71675	44
AR	71676	38
AR	71701	44
AR	71720	40
AR	71725	31
AR	71726	32
AR	71730	63
AR	71740	49
AR	71742	38
AR	71743	37
AR	71744	48
AR	71747	37
AR	71749	46
AR	71751	48
AR	71752	35
AR	71753	51
AR	71758	51
AR	71762	65
AR	71763	46
AR	71764	41
AR	71765	39
AR	71766	39
AR	71770	40
AR	71801	36
AR	71822	45
AR	71825	38
AR	71826	42
AR	71827	38
AR	71832	38
AR	71833	44
AR	71834	45
AR	71835	41
AR	71836	41
AR	71837	43
AR	71838	34
AR	71841	42
AR	71842	42
AR	71845	37
AR	71846	40
AR	71847	40
AR	71851	33
AR	71852	40
AR	71853	37
AR	71854	47
AR	71855	31
AR	71857	38
AR	71858	36
AR	71859	40
AR	71860	42
AR	71861	54
AR	71862	35
AR	71866	50
AR	71901	50
AR	71909	65
AR	71913	50
AR	71921	37
AR	71923	51
AR	71929	45
AR	71933	36
AR	71935	30
AR	71937	37
AR	71940	38
AR	71941	43
AR	71943	42
AR	71944	33
AR	71945	36
AR	71949	37
AR	71950	37
AR	71953	42
AR	71956	33
AR	71957	42
AR	71958	42
AR	71959	42
AR	71960	36
AR	71961	37
AR	71962	42
AR	71964	46
AR	71965	40
AR	71968	50
AR	71969	37
AR	71970	32
AR	71971	41
AR	71972	44
AR	71973	33
AR	72001	32
AR	72002	55
AR	72003	54
AR	72004	33
AR	72006	39
AR	72007	56
AR	72010	46
AR	72011	47
AR	72012	48
AR	72013	58
AR	72015	48
AR	72016	51
AR	72017	36
AR	72019	67
AR	72020	40
AR	72021	36
AR	72022	56
AR	72023	58
AR	72024	53
AR	72025	37
AR	72026	44
AR	72027	58
AR	72029	36
AR	72030	58
AR	72031	46
AR	72032	47
AR	72034	60
AR	72036	29
AR	72039	53
AR	72040	41
AR	72041	42
AR	72042	49
AR	72044	46
AR	72045	54
AR	72046	48
AR	72047	48
AR	72051	38
AR	72055	49
AR	72057	44
AR	72058	59
AR	72060	39
AR	72061	53
AR	72063	54
AR	72064	47
AR	72065	55
AR	72067	48
AR	72068	29
AR	72069	37
AR	72070	43
AR	72072	41
AR	72073	40
AR	72076	39
AR	72079	44
AR	72080	42
AR	72081	42
AR	72082	27
AR	72084	40
AR	72086	46
AR	72087	49
AR	72088	50
AR	72101	48
AR	72102	40
AR	72103	42
AR	72104	43
AR	72106	48
AR	72110	49
AR	72111	50
AR	72112	43
AR	72113	70
AR	72114	25
AR	72116	70
AR	72117	32
AR	72118	39
AR	72120	59
AR	72121	48
AR	72122	75
AR	72125	40
AR	72126	45
AR	72127	47
AR	72128	46
AR	72129	45
AR	72130	40
AR	72131	58
AR	72132	50
AR	72134	52
AR	72135	106
AR	72136	48
AR	72137	48
AR	72140	45
AR	72141	36
AR	72142	59
AR	72143	55
AR	72150	53
AR	72152	39
AR	72153	38
AR	72156	59
AR	72157	48
